texto de apresentação               link
home                                index.html
acomodação                          acomodacao.html
    suite standard                  suitestandard.html
    suite double                    suitedouble.html
    suite master                    suitermaster.html
lazer                               lazer.html
gastronomia                         gastronomia.html
evento                              evento.html
reservas                            reservas.html
localização                         localizacao.html
